SMILES_131,SMILES_442,SMILES_611,SMILES_909,SMILES_1235,SMILES_1759
"['s1cc2c(c1)cco2', 'c1cc2c(o1)cco2']","['COc1cc2cscc2cc1C', 's1cc2c(c1)ncs2']","['CCc1nc2c(nc1CC)c1ccsc1c1c2ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=Cc1occ(c1S)O']","['C=Cc1cc2cscc2cc1C', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
"['s1cc2c(c1)cco2', 'c1cc2c(s1)c1c([nH]2)ccs1']","['COc1cc2cscc2cc1OC', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c(c1)ncs2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2cscc2cc1C']","['COc1cc2cscc2cc1OC', 'c1ccc2c(c1)csc2']","['C=Cc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']"
"['s1cc2c(c1)nco2', 'c1cc2c(o1)cco2']","['C=Cc1cc2cscc2cc1C', 'C=Cc1ccc2c(c1)csc2']","['C=Cc1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['COc1cscc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'COc1ccc2c(c1)csc2']","['Cc1cc2cscc2cc1C', 'COc1cc2cscc2cc1C']"
"['s1cc2c(c1)nco2', 'c1cc2c(s1)c1c(C2)ccs1']","['C=Cc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 's1cc2c(c1)ncs2']","['s1cc2c(c1)ncs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1occ(c1S)O', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
"['c1cc2c(o1)ccs2', 'c1cc2c(s1)c1c([nH]2)ccs1']","['C=Cc1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['c1csc(c1)c1ccc(s1)c1cccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1oc(c(c1O)O)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1coc(c1)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1c(N)ccc2c1csc2', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['s1cc2c(c1)nco2', 'c1cc2c(s1)c1c([nH]2)ccs1']","['COc1cc2cscc2cc1OC', 'COc1cc2cscc2cc1C']","['Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'COc1cc2cscc2cc1C']"
"['COc1cc2cscc2cc1OC', 's1cc2c(c1)ncs2']","['COc1cc2cscc2cc1C', 'C=Cc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'COc1cc2cscc2cc1C']","['COc1cc2cscc2cc1OC', 's1cc2c(c1)nco2']","['C=Cc1cc2cscc2cc1C', 'c1ccc2c(c1)csc2']","['C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'Cc1ccc2c(c1)csc2']"
"['c1cc2c(o1)ccs2', 's1cc2c(c1)ncs2']","['c1cc2c(s1)c1c(o2)ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1cc2c(o1)ccs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['Oc1ccc(c2c1csc2)S', 'CC(c1ccc2c(c1)csc2)(C)C']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'COc1cc2cscc2cc1C']"
"['s1cc2c(c1)cco2', 's1cc2c(c1)ncs2']","['COc1cc2cscc2cc1C', 'Sc1ccc2c(c1)csc2']","['c1nc2c([nH]1)[nH]cn2', 'CC(c1ccc2c(c1)csc2)(C)C']","['Oc1ccc(c2c1csc2)S', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1ccc(c2c1csc2C=C)C']","['COc1cc2cscc2cc1C', 'COc1coc(c1)C=C']"
"['s1cc2c(c1)nco2', 's1cc2c(c1)ncs2']","['s1cc2c(c1)cco2', 'CC(c1ccc2c(c1)csc2)(C)C']","['Oc1ccc(c2c1csc2)S', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C#Cc1scc2c1scn2']","['Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2cscc2cc1C', 'COc1coc(c1)C=C']"
"['s1cc2c(c1)ncs2', 'c1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'c1cc2c(s1)c1c(o2)ccs1']","['Cn1c2ccsc2c2c1ccs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#CC=Cc1oc(c(c1O)O)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Oc1ccc(c2c1csc2)S']","['C#Cc1c(N)ccc2c1csc2', 'C=Cc1cc2cscc2cc1C']"
"['COc1cc2cscc2cc1OC', 'C1CSc2c(O1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2cscc2cc1C']","['Sc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1ccsc1C#C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']","['C#Cc1sc2c(c1CC)scc2CC', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['c1cc2c(s1)c1c(C2)ccs1', 's1cc2c(c1)ncs2']","['C1=CC2=C(C1)N=CC2', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'Cc1ccc2c(c1)csc2']","['c1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'C#Cc1sc2c(c1CC)scc2CC']"
"['c1cc2c(o1)cco2', 's1cc2c(c1)ncs2']","['c1cc2c(s1)c1c(C2)ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=Cc1ccc2c(c1)csc2']","['CC(c1ccc2c(c1)csc2)(C)C', 'COc1ccc2c(c1)csc2']","['COc1coc(c1)C=C', 'Cc1ccc2c(c1)csc2']"
"['COc1cc2cscc2cc1OC', 'COc1cscc1']","['Sc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c(c1)cc[nH]2', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C1SSc2c(O1)csc2']","['COc1cc2cscc2cc1C', 'C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1']"
,"['c1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['CC(=O)c1cccc2c1csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C1SSc2c(O1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1occ(c1S)O', 'C=Cc1cc2cscc2cc1C']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'Cc1ccc2c(c1)csc2']"
,"['COc1cc2cscc2cc1OC', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'CCSc1cc2cscc2cc1SCC']","['C#Cc1c(N)ccc2c1csc2', 'CC(c1ccc2c(c1)csc2)(C)C']",['COc1cc2cscc2cc1OC'],"['Cc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']"
,"['COc1cc2cscc2cc1C', 'c1cc2c(o1)cco2']","['CCOc1c2c(F)csc2c(c2c1scc2F)OCC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'COc1coc(c1)C=C']","['COc1coc(c1)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['c1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cocc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['Oc1cc(oc1)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['c1cc2c(s1)c1c(s2)ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['S1C[C@@H]2[C@H](C1)N[C@H]1[C@@H](N2)NSN1', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1cc2c(o1)ccs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C1COC2(O1)c1ccsc1c1c2ccs1']","['C#Cc1c(N)ccc2c1csc2', 'COc1cc2cscc2cc1C']"
,"['C=Cc1ccc2c(c1)csc2', 'Cc1ccc2c(c1)csc2']","['CNc1nc2cscc2nc1NC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'c1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'C=Cc1cc2cscc2cc1C']","['C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'CC(c1ccc2c(c1)csc2)(C)C']"
