File ID	SMILES	HOMO (eV)	LUMO (eV)	Trans (eV)	Osc	...
10	10 c1sc(c2c1[C@H](S)CC[C@H]2O)c1sc(c2c1[C@H](S)CC[C@H]2O)c1sc(c2c1[C@H](S)CC[C@H]2O)c1sc(c2c1[C@H](S)CC[C@H]2O)	-7.558234	0.127077	3.678200	0.722000	3.943800	0.116700	4.189200	0.074400	4.246900	0.003000	4.312600	0.026100	4.362000	0.006300	4.400800	0.022400	4.501300	0.001400	4.589500	0.009100	4.768200	0.017500	4.829300	0.011600	4.856900	0.019400	4.915700	0.003300	4.968700	0.005900	5.026500	0.000800
11	11 c1cc2c(s1)c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)cc(s1)	-6.161202	-1.105871	2.021700	2.394600	2.456500	0.022100	2.857900	0.254600	3.141900	0.000700	3.367000	0.000100	3.517000	0.048200	3.630600	0.027100	3.769300	0.000100	3.864100	0.000800	4.056100	0.002400	4.153700	0.008600	4.175300	0.002000	4.237700	0.001300	4.242600	0.006700	4.299800	0.001400
12	12 c1c(c2c(s1)nc1c(c2CC)CCS1)c1c(c2c(s1)nc1c(c2CC)CCS1)c1c(c2c(s1)nc1c(c2CC)CCS1)c1c(c2c(s1)nc1c(c2CC)CCS1)	-7.629256	-0.218507	3.737600	0.484400	3.757700	0.481000	3.761600	0.141400	3.850100	0.137700	3.929200	0.069100	3.936300	0.114800	3.992500	0.147600	4.092100	0.140600	4.305500	0.005300	4.319600	0.007000	4.419100	0.002800	4.466800	0.019400	4.510600	0.011200	4.533900	0.010100	4.552300	0.005800
13	13 c1sc(c2c1cc(F)c(F)c2)c1sc(c2c1cc(F)c(F)c2)c1sc(c2c1cc(F)c(F)c2)c1sc(c2c1cc(F)c(F)c2)	-7.102716	-1.800849	2.186900	0.959200	2.645300	0.129900	2.961500	0.112900	3.028800	0.027800	3.156100	0.000400	3.338600	0.010400	3.374600	0.002000	3.537400	0.067500	3.687300	0.004800	3.696800	0.190400	3.989900	0.004500	4.050100	0.003700	4.091600	0.013300	4.159000	0.002300	4.191900	0.011400
14	14 n1c2[CH][S]=Cc2n(c2c1c1c3c(ccc1)cccc23)n1c2[CH][S]=Cc2n(c2c1c1c3c(ccc1)cccc23)n1c2[CH][S]=Cc2n(c2c1c1c3c(ccc1)cccc23)n1c2[CH][S]=Cc2n(c2c1c1c3c(ccc1)cccc23)	-5.902421	-0.768177	2.401400	0.113200	2.404100	0.584600	2.634400	0.095000	2.683100	0.033000	2.885300	0.001900	2.995800	0.002000	3.542400	0.000000	3.665200	0.008500	3.736300	0.001400	3.752300	0.003600	3.782200	0.068100	3.785200	0.002900	3.801200	0.125100	3.824500	0.032100	3.825800	0.095100
15	15 c1cc(N(=O)=O)c(cc1)c1cc(N(=O)=O)c(cc1)c1cc(N(=O)=O)c(cc1)c1cc(N(=O)=O)c(cc1)	-9.082344	-2.285212	2.407300	0.009300	2.413100	0.001700	2.419900	0.001600	2.579900	0.000000	2.676400	0.001500	2.695000	0.004600	2.697000	0.000800	2.747800	0.000000	3.557600	0.124200	3.621000	0.067400	3.814800	0.094600	3.824900	0.077200	4.105300	0.145300	4.140100	0.110100	4.217800	0.290700
16	16 c1c(C)cc(s1)c1c(C)cc(s1)c1c(C)cc(s1)c1c(C)cc(s1)	-7.098906	-0.327353	3.216300	0.939200	3.783000	0.080300	4.242900	0.135200	4.430300	0.001200	4.464700	0.021500	4.660900	0.004700	4.693700	0.018200	4.771000	0.012000	4.827400	0.009000	4.870300	0.003300	5.021100	0.047100	5.178800	0.002200	5.224400	0.126400	5.264400	0.014600	5.303000	0.018100
17	17 c1sc(CC)c(c1CC)c1sc(CC)c(c1CC)c1sc(CC)c(c1CC)c1sc(CC)c(c1CC)	-7.471430	0.514839	4.064200	0.125200	4.098500	0.218900	4.102600	0.555000	4.379800	0.206200	4.603200	0.000300	4.631100	0.000900	4.665100	0.002600	4.700800	0.008300	4.742100	0.004600	4.818800	0.005300	4.907400	0.001500	4.966900	0.002400	5.072300	0.007400	5.143600	0.001400	5.182800	0.000300
18	18 c1sc(cc1)Nc1sc(cc1)Nc1sc(cc1)Nc1sc(cc1)N	-6.937815	0.282454	3.335500	0.229900	3.872000	0.697400	4.027300	0.179000	4.192900	0.046300	4.320300	0.005800	4.578600	0.012900	4.669300	0.017700	4.749200	0.005700	4.826500	0.007200	4.927500	0.031000	4.949300	0.002800	4.984300	0.007900	5.000300	0.006900	5.040900	0.001800	5.140200	0.031600
19	19 c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)	-7.422994	-1.243288	2.908100	0.842100	2.924300	0.073100	3.007000	0.519100	3.064600	0.273200	3.175300	0.014700	3.177500	0.206000	3.187500	0.045500	3.194300	0.012100	3.370800	0.854700	3.372400	0.312100	3.401700	0.632800	3.465800	0.527100	3.959800	0.128300	3.969600	0.198800	4.044600	0.085800
